"word","mRT","accuracy"
"Aaron",737.258064516129,0.967741935483871
"Abe",811.787878787879,1
"Abel",773.935483870968,0.612903225806452
"Abel's",803.939393939394,0.818181818181818
"Abigail",832.620689655172,0.793103448275862
"Abraham",799.647058823529,1
"Acadia",835.181818181818,0.393939393939394
"Acapulco",846.0625,0.75
"Achilles",797.484848484848,0.818181818181818
"Acropolis",908.939393939394,0.787878787878788
"Ada",799.823529411765,0.5
"Ada's",852.454545454545,0.545454545454545
"Adam",606.558823529412,0.941176470588235
"Adam's",611.764705882353,1
"Adele",883.171428571429,0.6
"Adlai",786.454545454545,0.0606060606060606
"Adolf",774.689655172414,0.96551724137931
"Adonis",773.235294117647,0.5
"Adrian",808.970588235294,0.794117647058823
"Adriatic",844.931034482759,0.620689655172414
"Aegean",882.529411764706,0.5
"Aeschylus",936.193548387097,0.258064516129032
"Afghan",844.794117647059,0.764705882352941
"Afghanistan",915.787878787879,0.848484848484849
"Afghans",954.875,0.71875
"Africa",624.272727272727,0.96969696969697
"African",637.818181818182,0.96969696969697
"Africans",722.69696969697,0.96969696969697
"Agamemnon",987.677419354839,0.580645161290323
"Agamemnon's",1134.58064516129,0.548387096774194
"Agatha",956.545454545455,0.636363636363636
"Aggie",882.147058823529,0.588235294117647
"Aggies",768.941176470588,0.235294117647059
"Agnes",825.272727272727,0.787878787878788
"Agrippa",795.40625,0.3125
"Akron",798.617647058824,0.617647058823529
"Al",679.30303030303,0.939393939393939
"Al's",706.212121212121,0.939393939393939
"Alabama",696.71875,1
"Alabamans",1089.09677419355,0.580645161290323
"Alamo",747.741935483871,0.967741935483871
"Alamogordo",854.25,0.125
"Alan",691.647058823529,0.911764705882353
"Alaska",547.387096774194,0.967741935483871
"Albania",785.774193548387,0.935483870967742
"Albanian",825.529411764706,0.911764705882353
"Albanians",927.205882352941,0.970588235294118
"Albany",700.451612903226,0.967741935483871
"Albert",614,0.909090909090909
"Alex",589.823529411765,1
"Alex's",651.470588235294,1
"Alexander",707.709677419355,1
"Alexander's",770.060606060606,1
"Alexandria",668.09375,1
"Alexei",840.8,0.4
"Alexis",710.571428571429,0.942857142857143
"Alfonso",706.225806451613,0.806451612903226
"Alfred",724.96875,1
"Alfred's",719.757575757576,0.96969696969697
"Algeria",793.84375,0.875
"Algerian",759.636363636364,0.939393939393939
"Algerians",775.09375,0.8125
"Alice",647.84375,0.96875
"Alicia",744.176470588235,0.852941176470588
"Allah",791.212121212121,0.848484848484849
"Allan",754.818181818182,0.878787878787879
"Alleluia",1015.61290322581,0.483870967741935
"Allen",699.685714285714,1
"Allen's",662.575757575758,0.909090909090909
"Allison",718.885714285714,0.942857142857143
"Allison's",666.090909090909,0.939393939393939
"Almighty",721.806451612903,0.935483870967742
"Alp",776.125,0.8125
"Alpine",729.909090909091,0.909090909090909
"Alps",708.676470588235,0.970588235294118
"Amazon",664.03125,1
"Amazonian",924.882352941176,0.823529411764706
"Amazons",652.636363636364,1
"Ambrose",910.529411764706,0.764705882352941
"Amelia's",728.545454545455,0.909090909090909
"Amen",622.290322580645,0.967741935483871
"America",658.735294117647,1
"America's",634.470588235294,0.941176470588235
"American",674.470588235294,0.970588235294118
"American's",665.75,1
"Americana",868.225806451613,0.838709677419355
"Americanize",1042.1935483871,0.903225806451613
"Americans",597.9375,1
"Americas",794.676470588235,1
"Amsterdam",815.09375,0.9375
"Amy",608.8,0.971428571428571
"Anchorage",752.970588235294,0.970588235294118
"Andean",852.25,0.46875
"Andersen",864.294117647059,0.823529411764706
"Andover",864.735294117647,0.823529411764706
"Andre",697.625,0.9375
"Andrea",639.290322580645,1
"Andrew",601.515151515152,0.96969696969697
"Andy",677.34375,1
"Andy's",645.470588235294,0.970588235294118
"Angelica",779.857142857143,0.942857142857143
"Angelina",915.78125,0.9375
"Angelo",740.53125,0.96875
"Angelo's",770.606060606061,0.96969696969697
"Angie",677.75,1
"Anglican",829.655172413793,0.862068965517241
"Anglicanism",1059.68965517241,0.482758620689655
"Anglicans",830,0.875
"Anglicism",946.363636363636,0.545454545454545
"Anglicize",808.107142857143,0.285714285714286
"Anglophile",1036.46666666667,0.366666666666667
"Anglophilia",1138.8275862069,0.310344827586207
"Anglophobe",930.848484848485,0.272727272727273
"Anglophobia",1104.55172413793,0.413793103448276
"Angola",836.4375,0.71875
"Angora",869.794117647059,0.588235294117647
"Anita",725.727272727273,1
"Ann",525.205882352941,0.911764705882353
"Ann's",630.090909090909,1
"Anna",680.545454545455,1
"Annapolis",852.875,0.78125
"Anne",605.484848484848,0.96969696969697
"Anne's",627.757575757576,0.939393939393939
"Annie",726.147058823529,1
"Antarctic",935,0.838709677419355
"Antarctica",794.821428571429,0.857142857142857
"Anthony",729.0625,0.9375
"Anthony's",683.225806451613,0.967741935483871
"Antietam",911.935483870968,0.193548387096774
"Antigua",994.322580645161,0.548387096774194
"Antoine",917.677419354839,0.580645161290323
"Antoine's",823.285714285714,0.885714285714286
"Antoinette",940.125,0.8125
"Antonio",724.606060606061,1
"Apache",815.28125,0.90625
"Apaches",807.0625,0.78125
"Aphrodite",929.205882352941,0.882352941176471
"Apollo",595.71875,1
"Apollo's",627.257142857143,0.971428571428571
"Apollonian",989.225806451613,0.451612903225806
"Apostolic",921.161290322581,0.709677419354839
"Appalachian",834.529411764706,0.941176470588235
"Appalachians",832.870967741935,0.870967741935484
"April",689.323529411765,0.941176470588235
"Aquarius",818.242424242424,0.96969696969697
"Aquinas",884.485714285714,0.6
"Arab",707.6875,0.9375
"Arabia",722.235294117647,0.970588235294118
"Arabian",653.161290322581,0.967741935483871
"Arabians",770.764705882353,0.970588235294118
"Arabic",696.030303030303,0.96969696969697
"Arabs",654.838709677419,1
"Arcadia",937.1,0.766666666666667
"Archimedes",918.393939393939,0.818181818181818
"Arctic",891.060606060606,0.939393939393939
"Ares",797.939393939394,0.424242424242424
"Argentina",776.875,0.9375
"Argentine",939.382352941176,0.911764705882353
"Argentinian",916.466666666667,0.866666666666667
"Argonaut",938.375,0.6875
"Argonauts",1046.46875,0.59375
"Ariadne",896.914285714286,0.285714285714286
"Arianism",1058.9696969697,0.454545454545455
"Arianist",931.212121212121,0.303030303030303
"Arianists",996.461538461538,0.307692307692308
"Aries",805.375,0.875
"Aristotelian",1043.12121212121,0.606060606060606
"Aristotle",790.857142857143,0.971428571428571
"Aristotle's",798.483870967742,1
"Arizona",606.833333333333,1
"Arkansas",682.969696969697,0.96969696969697
"Arlene",785.03125,0.875
"Arlene's",840.393939393939,0.878787878787879
"Arlington",806.75,0.9375
"Armageddon",809.903225806452,0.967741935483871
"Armenian",922.058823529412,0.617647058823529
"Armstrong",716.090909090909,1
"Arnold",679.029411764706,0.970588235294118
"Arnold's",705.606060606061,0.939393939393939
"Artemis",788.470588235294,0.764705882352941
"Arthur",600.878787878788,0.96969696969697
"Arthur's",708.117647058824,0.970588235294118
"Aryan",835.090909090909,0.757575757575758
"Ashley",599.666666666667,1
"Asia",564.571428571429,0.971428571428571
"Asian",608.382352941176,0.970588235294118
"Asians",662.323529411765,0.970588235294118
"Asiatic",959.58064516129,0.451612903225806
"Asimov's",774.875,0.40625
"Assyrian",927.193548387097,0.645161290322581
"Asteria",916.533333333333,0.533333333333333
"Athabascan",935.533333333333,0.0333333333333333
"Athena",773.823529411765,0.941176470588235
"Athenian",767.575757575758,0.939393939393939
"Athenians",817.96875,0.96875
"Athens",697.676470588235,0.941176470588235
"Atlanta",656.147058823529,0.970588235294118
"Atlanta's",685.636363636364,1
"Atlantic",680.735294117647,1
"Atlantis",747.848484848485,0.939393939393939
"Attic",745.121212121212,0.939393939393939
"Audrey",753.333333333333,0.833333333333333
"Audubon",885.272727272727,0.484848484848485
"August",649.028571428571,0.971428571428571
"Augusta",862.515151515152,0.818181818181818
"Augusta's",870.352941176471,0.764705882352941
"Augustan",1114.18181818182,0.575757575757576
"Augustine",871,0.9
"Augustine's",971.69696969697,0.939393939393939
"Augustus",904.606060606061,0.818181818181818
"Auschwitz",828.903225806452,0.645161290322581
"Aussie",768.676470588235,0.764705882352941
"Austin",677.575757575758,1
"Austin's",686.714285714286,1
"Australia",755.941176470588,0.970588235294118
"Australian",720.71875,1
"Austria",748.606060606061,0.96969696969697
"Austrian",736.59375,0.96875
"Azerbaijan",772.466666666667,0.3
"Babylon",741.735294117647,1
"Babylonian",815.909090909091,0.909090909090909
"Babylonians",974.709677419355,0.870967741935484
"Bacchanal",910.69696969697,0.181818181818182
"Bacchus",817.606060606061,0.393939393939394
"Bach",660.939393939394,0.909090909090909
"Badlands",847.03125,0.65625
"Bahamas",671.323529411765,0.970588235294118
"Bahrain",942.3,0.433333333333333
"Bali",807.542857142857,0.628571428571429
